Project Reference,Project ID,Project ID Id,Id Project ID,HE/MEAS Delay Status,Firm Order Placed,Ran Priority,NIA Order Delivery (A),Transmission Delivered (A),Transmission Delivered (F),COC Uploaded,PRTC (A),PRTC (F),HE/MEAS Status,WES PSID
PX71-SG-CKIIMGL,P-191995,a1e4J000000CK0NQAW,a0i4J0000023SLCQA2,,9/13/2019,Nokia Compact,,12/13/2019,,7/15/2021,4/16/2019,,7.0 COMPLETED (10GB),BTWD208000
PX71-SG-CKIIKKK,P-191996,a1e4J000000CK0OQAW,a0i4J0000023SLDQA2,NONE,8/22/2019,Nokia Compact,,6/25/2020,,6/25/2020,4/4/2019,,7.0 COMPLETED (10GB),BTWD207706
PX71-SG-CKJJLKP,P-191999,a1e4J000000CK0RQAW,a0i4J0000023SLGQA2,CUST - NTQ SITE,10/3/2019,Nokia Compact,,,,,3/18/2019,,2.0 EAD PLANNING (10GB),BTWD208221
PX71-SG-CKIIMJH,P-192000,a1e4J000000CK0SQAW,a0i4J0000023SLHQA2,NONE,1/30/2020,Huawei,,1/4/2022,,6/17/2022,9/1/2021,,7.0 COMPLETED (10GB),BTWD210588
PX71-SG-CKIHJPM,P-192001,a1e4J000000CK0TQAW,a0i4J0000023SLIQA2,NONE,11/19/2019,Nokia Compact,,9/15/2020,,9/15/2020,11/14/2019,,7.0 COMPLETED (10GB),BTWD208630
PX71-SG-CKIIGJM,P-192002,a1e4J000000CK0UQAW,a0i4J0000023SLJQA2,,9/13/2019,Huawei,,11/20/2019,,6/16/2022,11/14/2019,,7.0 COMPLETED (10GB),BTWD207966
PX71-SG-CKIIGJJ,P-192003,a1e4J000000CK0VQAW,a0i4J0000023SLKQA2,NONE,9/10/2019,Nokia Compact,,11/20/2020,,11/20/2020,11/14/2019,,7.0 COMPLETED (10GB),BTWD207882
PX71-SG-CKIGIOO,P-192004,a1e4J000000CK0WQAW,a0i4J0000023SLLQA2,NONE,7/17/2020,Nokia Compact,,10/21/2020,,10/21/2020,3/18/2019,,7.0 COMPLETED (10GB),BTWD210328
PX71-SG-CKIIGIP,P-192005,a1e4J000000CK0XQAW,a0i4J0000023SLMQA2,NONE,9/13/2019,Nokia Compact,,5/25/2021,,5/25/2021,11/14/2019,,7.0 COMPLETED (10GB),BTWD208009
PX71-SG-CKIIKJQ,P-192006,a1e4J000000CK0YQAW,a0i4J0000023SLNQA2,NONE,8/22/2019,Nokia Compact,,7/28/2020,,7/28/2020,9/1/2021,,7.0 COMPLETED (10GB),BTWD207713
PX71-SG-CKIILJI,P-192007,a1e4J000000CK0ZQAW,a0i4J0000023SLOQA2,,7/4/2019,Nokia Compact,,12/4/2019,,12/4/2019,3/18/2019,,7.0 COMPLETED (10GB),BTWD207223
PX71-SG-CKIIFGI,P-192008,a1e4J000000CK0aQAG,a0i4J0000023SLPQA2,NONE,9/13/2019,Huawei,,3/27/2020,,4/11/2022,11/14/2019,,7.0 COMPLETED (10GB),BTWD208011
PX71-SG-CKIILIQ,P-192009,a1e4J000000CK0bQAG,a0i4J0000023SLQQA2,NONE,8/16/2019,Huawei,,10/16/2019,,10/16/2019,9/1/2021,,7.0 COMPLETED (10GB),BTWD207658
PX71-SG-CKIILNK,P-192010,a1e4J000000CK0cQAG,a0i4J0000023SLRQA2,NONE,,E-Band,,1/14/2021,,,,,7.0 COMPLETED 10GB (E-BAND),
PX71-SG-CKIIOMQ,P-192011,a1e4J000000CK0dQAG,a0i4J0000023SLSQA2,NONE,8/31/2019,Nokia Compact,,1/14/2020,,1/14/2020,5/30/2019,,7.0 COMPLETED (10GB),BTWD207758
PX71-SG-CKIJGLL,P-192012,a1e4J000000CK0eQAG,a0i4J0000023SLTQA2,WTG NETWORK ISSUE TO BE RESOLVED,4/3/2019,Nokia Compact,,10/16/2019,,6/8/2021,5/30/2019,,7.0 COMPLETED (10GB),BTWD206564
PX71-SG-CKILJNQ,P-192013,a1e4J000000CK0fQAG,a0i4J0000023SLUQA2,,9/20/2019,Huawei,,2/12/2020,,2/12/2020,9/19/2019,,7.0 COMPLETED (10GB),BTWD208137
PX71-SG-DFDFOJI,P-192014,a1e4J000000CK0gQAG,a0i4J0000023SLVQA2,NONE,,,,9/17/2018,,,,,7.0 COMPLETED SMEAS 10GB,
PX71-SG-CKIHOGM,P-192045,a1e4J000000CK0hQAG,a0i4J0000023SM0QAM,NONE,9/16/2019,Nokia Compact,,4/21/2020,,4/21/2020,2/20/2019,,7.0 COMPLETED (10GB),BTWD208027
PX71-SG-CKIINGI,P-192046,a1e4J000000CK0iQAG,a0i4J0000023SM1QAM,NONE,6/25/2019,Nokia Compact,,10/16/2019,,2/17/2022,4/4/2019,,7.0 COMPLETED (10GB),BTWD207148
PX71-SG-CKIHOGN,P-192047,a1e4J000000CK0jQAG,a0i4J0000023SM2QAM,NONE,9/26/2019,Nokia Compact,,5/6/2021,,5/6/2021,3/29/2019,,7.0 COMPLETED (10GB),BTWD208098
PX71-SG-CKIHOHJ,P-192048,a1e4J000000CK0kQAG,a0i4J0000023SM3QAM,,9/13/2019,Nokia Compact,,1/24/2020,,1/26/2020,2/20/2019,,7.0 COMPLETED (10GB),BTWD208043
PX71-SG-CKIJJPH,P-192049,a1e4J000000CK0lQAG,a0i4J0000023SM4QAM,NONE,2/11/2019,Nokia Compact,,5/20/2019,,5/20/2019,4/4/2019,,7.0 COMPLETED (10GB),BTWD206335
PX71-SG-CKIJKHP,P-192050,a1e4J000000CK0mQAG,a0i4J0000023SM5QAM,NONE,2/11/2019,Nokia Compact,,9/13/2019,,9/13/2019,2/20/2019,,7.0 COMPLETED (10GB),BTWD206333
PX71-SG-CKIHOHK,P-192051,a1e4J000000CK0nQAG,a0i4J0000023SM6QAM,,9/13/2019,Huawei,,4/22/2020,,12/24/2020,3/29/2019,,7.0 COMPLETED (10GB),BTWD208003
PX71-SG-CKIINII,P-192052,a1e4J000000CK0oQAG,a0i4J0000023SM7QAM,,6/21/2019,Nokia Compact,,4/23/2020,,4/23/2020,4/4/2019,,7.0 COMPLETED (10GB),BTWD207124
PX71-SG-CKIJNMJ,P-192053,a1e4J000000CK0pQAG,a0i4J0000023SM8QAM,NONE,9/23/2018,Nokia Compact,,5/10/2019,,5/10/2019,2/20/2019,,7.0 COMPLETED (10GB),BTWD205657
,P-192054,a1e4J000000CK0qQAG,a0i4J0000023SM9QAM,,,,,,,,,,,BTWD207772
PX71-SG-DFDFOJI,P-192015,a1e4J000000CK0rQAG,a0i4J0000023SLWQA2,,,,,,,,,,7.0 COMPLETED (10GB),BTWD207973
PX71-SG-CKIJGOI,P-192016,a1e4J000000CK0sQAG,a0i4J0000023SLXQA2,NONE,5/1/2019,Nokia Compact,,8/30/2019,,5/26/2021,4/26/2019,,7.0 COMPLETED (10GB),BTWD206674
PX71-SG-CKIIHLM,P-192017,a1e4J000000CK0tQAG,a0i4J0000023SLYQA2,NONE,8/29/2019,Nokia Compact,,9/2/2020,,6/15/2021,3/18/2019,,7.0 COMPLETED (10GB),BTWD207744
PX71-SG-CKIJGIP,P-192018,a1e4J000000CK0uQAG,a0i4J0000023SLZQA2,NONE,10/23/2019,Huawei,,8/28/2020,,10/27/2021,5/30/2019,,7.0 COMPLETED (10GB),BTWD208497
PX71-SG-CKIIGOK,P-192019,a1e4J000000CK0vQAG,a0i4J0000023SLaQAM,NONE,9/2/2019,Nokia Compact,,1/31/2022,,1/31/2022,3/18/2019,,7.0 COMPLETED (10GB),BTWD207765
PX71-DEDLKHJ,P-192023,a1e4J000000CK0zQAG,a0i4J0000023SLeQAM,,2/2/2024,Nokia Compact,,7/18/2024,,,,,7.0 COMPLETED (10GB),BTWD216470
PX71-SG-CKIHINP,P-192024,a1e4J000000CK10QAG,a0i4J0000023SLfQAM,NONE,5/19/2020,Nokia Compact,,8/11/2020,,8/11/2020,10/19/2020,,7.0 COMPLETED (10GB),BTWD209720
PX71-SG-CKIGLHJ,P-192055,a1e4J000000CK11QAG,a0i4J0000023SMAQA2,NONE,6/1/2020,Nokia Compact,,9/18/2020,,9/18/2020,4/4/2019,,7.0 COMPLETED (10GB),BTWD210007
PX71-SG-CKIGLGQ,P-192056,a1e4J000000CK12QAG,a0i4J0000023SMBQA2,NONE,6/1/2020,Nokia Compact,,8/21/2020,,8/24/2020,4/4/2019,,7.0 COMPLETED (10GB),BTWD210002
PX71-SG-CKJJHGQ,P-192057,a1e4J000000CK13QAG,a0i4J0000023SMCQA2,BT - WTG NGB / VIRTUA INSTALL (FIRAS),6/11/2020,Cisco,,,1/31/2025,,5/28/2021,,2.0 EAD PLANNING (10GB),BTWD218057
PX71-SG-CKIEHKO,P-192058,a1e4J000000CK14QAG,a0i4J0000023SMDQA2,BT - CIVILS PROGRAMMED,5/20/2020,Nokia Compact,,,11/6/2025,,12/4/2018,,2.0A EAD CIVILS (10GB),BTWD216442
PX71-SG-CKIGMPO,P-192059,a1e4J000000CK15QAG,a0i4J0000023SMEQA2,NONE,4/27/2020,Nokia Compact,,9/21/2020,,9/21/2020,8/24/2021,,7.0 COMPLETED (10GB),BTWD209499
PX71-SG-CKHNHJJ,P-192060,a1e4J000000CK16QAG,a0i4J0000023SMFQA2,,6/8/2020,Nokia Compact,,9/21/2022,,,6/30/2021,,7.0 COMPLETED (10GB) (BOX SWAP),BTWD210116
PX71-SG-CKJJJGH,P-192061,a1e4J000000CK17QAG,a0i4J0000023SMGQA2,CUST - WTG H&S ISSUE (ASBESTOS),6/2/2020,,,,1/31/2023,,,,1.7 WTG RE-RAISE,BTWD210010
PX71-SG-CKIHJLM,P-192062,a1e4J000000CK18QAG,a0i4J0000023SMHQA2,NONE,5/6/2020,Nokia Compact,,1/7/2021,,1/7/2021,1/21/2021,,7.0 COMPLETED (10GB),BTWD209555
PX71-SG-CKIEHMN,P-192063,a1e4J000000CK19QAG,a0i4J0000023SMIQA2,,5/18/2020,Nokia Small,,6/1/2023,,,11/5/2020,,7.0 COMPLETED (10GB),BTWD209674
PX71-SG-CKIGKOO,P-192064,a1e4J000000CK1AQAW,a0i4J0000023SMJQA2,NONE,5/4/2020,Huawei,,2/19/2021,,2/24/2021,11/15/2018,,7.0 COMPLETED (10GB),BTWD210689
PX71-SG-CKJJKJH,P-192025,a1e4J000000CK1BQAW,a0i4J0000023SLgQAM,BT - WTG NGB / VIRTUA SURVEY JSV (FIRAS),3/31/2020,Nokia Compact,,,10/31/2025,,11/5/2020,,2.0 EAD PLANNING (10GB),BTWD209182
PX71-SG-CKIGNMM,P-192026,a1e4J000000CK1CQAW,a0i4J0000023SLhQAM,NONE,4/14/2020,Nokia Compact,,11/11/2020,,11/11/2020,9/26/2019,,7.0 COMPLETED (10GB),BTWD209351
PX71-SG-CKIHHMH,P-192027,a1e4J000000CK1DQAW,a0i4J0000023SLiQAM,NONE,3/12/2020,Nokia Compact,,5/28/2020,,5/28/2020,11/5/2020,,7.0 COMPLETED (10GB),BTWD209034
PX71-SG-CKIHJKK,P-192028,a1e4J000000CK1EQAW,a0i4J0000023SLjQAM,NONE,4/2/2020,Nokia Compact,,8/19/2020,,8/19/2020,1/21/2021,,7.0 COMPLETED (10GB),BTWD209195
PX71-SG-CKIIJGM,P-192029,a1e4J000000CK1FQAW,a0i4J0000023SLkQAM,NONE,8/2/2019,Nokia Compact,,12/3/2020,,12/3/2020,7/27/2020,,7.0 COMPLETED (10GB),BTWD207501
PX71-SG-CKIJNMI,P-192030,a1e4J000000CK1GQAW,a0i4J0000023SLlQAM,NONE,9/22/2018,Nokia Compact,,5/28/2019,,5/28/2019,2/20/2019,,7.0 COMPLETED (10GB),BTWD205652
PX71-SG-CKIJLOL,P-192031,a1e4J000000CK1HQAW,a0i4J0000023SLmQAM,NONE,2/11/2019,Nokia Compact,,5/28/2019,,5/28/2019,4/4/2019,,7.0 COMPLETED (10GB),BTWD206342
PX71-SG-CKIIKJN,P-192032,a1e4J000000CK1IQAW,a0i4J0000023SLnQAM,BT - WTG PACS,6/25/2019,Huawei,,10/31/2019,,2/24/2021,4/4/2019,,7.0 COMPLETED (10GB),BTWD207142
PX71-SG-CKIJJPO,P-192033,a1e4J000000CK1JQAW,a0i4J0000023SLoQAM,NONE,2/11/2019,Nokia Compact,,6/17/2019,,2/26/2021,4/4/2019,,7.0 COMPLETED (10GB),BTWD206337
PX71-SG-CKIIMPQ,P-192034,a1e4J000000CK1KQAW,a0i4J0000023SLpQAM,NONE,6/25/2019,Huawei,,10/16/2019,,10/16/2019,3/29/2019,,7.0 COMPLETED (10GB),BTWD207144
PX71-SG-CKIHJHP,P-192065,a1e4J000000CK1LQAW,a0i4J0000023SMKQA2,NONE,4/3/2020,Nokia Compact,,3/18/2021,,3/18/2021,8/9/2021,,7.0 COMPLETED (10GB),BTWD209212
PX71-CKKLKJJ,P-192066,a1e4J000000CK1MQAW,a0i4J0000023SMLQA2,NONE,5/14/2020,Nokia Compact,,7/30/2020,,7/30/2020,7/1/2021,,7.0 COMPLETED (10GB),BTWD209607
